Postcode,Number of polluting facilities,Total emissions in the air (kg),Level of pollution
800,5,1070736.886,High
810,0,0,No polluting facilities
812,2,42771.27926,Medium
815,0,0,No polluting facilities
820,0,0,No polluting facilities
822,22,15432012.41,High
828,0,0,No polluting facilities
829,0,0,No polluting facilities
830,0,0,No polluting facilities
832,0,0,No polluting facilities
834,0,0,No polluting facilities
835,0,0,No polluting facilities
836,0,0,No polluting facilities
837,0,0,No polluting facilities
838,0,0,No polluting facilities
839,0,0,No polluting facilities
840,0,0,No polluting facilities
841,0,0,No polluting facilities
845,0,0,No polluting facilities
846,1,126429.427,Medium
847,1,91621.089,Medium
850,1,51922.79941,Medium
852,9,9109005.914,High
853,0,0,No polluting facilities
854,1,24743.5741,Medium
860,1,61435.93669,Medium
862,1,5981.48333,Low
870,4,2557976.614,High
872,9,3382825.768,High
873,0,0,No polluting facilities
874,0,0,No polluting facilities
875,0,0,No polluting facilities
880,2,1674247.874,High
885,1,2369260.71,High
886,0,0,No polluting facilities
2000,0,0,No polluting facilities
2006,0,0,No polluting facilities
2007,0,0,No polluting facilities
2008,0,0,No polluting facilities
2009,0,0,No polluting facilities
2010,0,0,No polluting facilities
2011,0,0,No polluting facilities
2015,2,47576.95609,Medium
2016,0,0,No polluting facilities
2017,0,0,No polluting facilities
2018,1,1619.883,Low
2019,7,2353723.248,High
2020,2,36714.46708,Medium
2021,0,0,No polluting facilities
2022,0,0,No polluting facilities
2023,0,0,No polluting facilities
2024,0,0,No polluting facilities
2025,0,0,No polluting facilities
2026,1,46067,Medium
2027,0,0,No polluting facilities
2028,0,0,No polluting facilities
2029,0,0,No polluting facilities
2030,0,0,No polluting facilities
2031,0,0,No polluting facilities
2032,0,0,No polluting facilities
2033,0,0,No polluting facilities
2034,0,0,No polluting facilities
2035,0,0,No polluting facilities
2036,9,448088.8085,Medium
2037,0,0,No polluting facilities
2038,0,0,No polluting facilities
2039,0,0,No polluting facilities
2040,0,0,No polluting facilities
2041,0,0,No polluting facilities
2042,0,0,No polluting facilities
2043,0,0,No polluting facilities
2044,0,0,No polluting facilities
2045,0,0,No polluting facilities
2046,0,0,No polluting facilities
2047,0,0,No polluting facilities
2048,0,0,No polluting facilities
2049,0,0,No polluting facilities
2050,0,0,No polluting facilities
2052,1,2061.7116,Low
2060,0,0,No polluting facilities
2061,0,0,No polluting facilities
2062,0,0,No polluting facilities
2063,0,0,No polluting facilities
2064,1,23784.98,Medium
2065,2,3629.4704,Low
2066,1,8517.326526,Low
2067,0,0,No polluting facilities
2068,0,0,No polluting facilities
2069,0,0,No polluting facilities
2070,0,0,No polluting facilities
2071,0,0,No polluting facilities
2072,0,0,No polluting facilities
2073,0,0,No polluting facilities
2074,0,0,No polluting facilities
2075,0,0,No polluting facilities
2076,0,0,No polluting facilities
2077,1,1858.466224,Low
2079,0,0,No polluting facilities
2080,1,4065.784398,Low
2081,0,0,No polluting facilities
2082,0,0,No polluting facilities
2083,0,0,No polluting facilities
2084,0,0,No polluting facilities
2085,3,11334.91097,Medium
2086,0,0,No polluting facilities
2087,0,0,No polluting facilities
2088,0,0,No polluting facilities
2089,0,0,No polluting facilities
2090,0,0,No polluting facilities
2092,0,0,No polluting facilities
2093,0,0,No polluting facilities
2094,0,0,No polluting facilities
2095,1,79031,Medium
2096,0,0,No polluting facilities
2097,0,0,No polluting facilities
2099,0,0,No polluting facilities
2100,1,1439.507154,Low
2101,0,0,No polluting facilities
2102,1,6815,Low
2103,0,0,No polluting facilities
2104,0,0,No polluting facilities
